Generation,Individual,Fitness
0,"[2535, 1270, 3342]",230
0,"[3777, 1722, 1852]",230
0,"[906, 4109, 3054, 2776]",340
0,"[2904, 1938, 2149]",230
0,"[523, 730, 44, 1802, 2774, 2584, 3689, 4421]",780
0,"[3650, 3011, 1678, 1846, 604, 62, 737]",670
0,"[4092, 2495, 636, 266]",340
0,"[3170, 913, 3074, 892, 3833, 730, 3328, 1024, 3402, 1267, 2672, 1005]",1220
0,"[1029, 3399, 3336, 14, 3612]",450
0,"[1522, 2590, 1607, 2977, 3729, 1813]",560
0,"[3104, 3291, 1397]",230
0,"[3616, 672, 1218, 1186, 1091, 268, 206, 1015, 2494]",890
0,"[308, 3566, 2736]",230
0,"[612, 1508, 811, 1388, 2096, 3254, 2039, 1500, 3292, 382]",1000
0,"[3008, 2147, 3718, 542, 1234, 405, 1180, 862, 2783]",890
0,"[3846, 2121, 2890, 2956, 4047, 3956, 1979, 2109, 4479]",890
0,"[732, 2468, 4349, 1569]",340
0,"[3872, 2497, 1605, 1286, 1576, 3306, 1866, 1070, 2512, 2962, 2707, 498, 1010, 3417, 218, 156]",1660
0,"[3721, 1524, 622]",230
0,"[1777, 3077, 4257, 3179]",340
0,"[2392, 778, 1420]",230
0,"[1477, 2368, 3533]",230
0,"[387, 1541, 1337, 2637, 731]",450
0,"[1152, 131, 1213]",230
0,"[2936, 3194, 68, 8]",340
0,"[972, 2380, 543]",230
0,"[2714, 1675, 2856]",230
0,"[3218, 1602, 4110, 1992]",340
0,"[4088, 3562, 2915, 3228, 3436]",450
0,"[225, 3555, 3939, 1893, 3550]",450
0,"[3496, 3860, 2070]",230
0,"[2082, 1732, 1766, 1386, 2638, 3214, 3068]",670
0,"[2402, 2042, 1440]",230
0,"[1616, 1202, 2315, 919]",340
0,"[1859, 4172, 2806]",230
0,"[2504, 374, 1227]",230
0,"[2243, 1428, 1566]",230
0,"[1700, 1004, 206, 1272, 1754, 2269]",560
0,"[1902, 4207, 784, 3058, 3124, 213, 1336]",670
0,"[986, 258, 1741]",230
0,"[3464, 1862, 2967, 4121]",340
0,"[2098, 4090, 3535, 2801]",340
0,"[4535, 1461, 1191]",230
0,"[868, 2060, 672, 4034]",340
0,"[2668, 612, 486]",230
0,"[1757, 2517, 2487]",230
0,"[628, 1826, 3054]",230
0,"[2022, 1096, 904, 3690, 2096, 3121, 1652, 2772]",780
0,"[3046, 2280, 2382, 143, 3568, 1621]",560
0,"[2760, 9, 1107, 1748, 1502]",450
0,"[1444, 1962, 4594, 788]",340
0,"[3202, 388, 2478, 3109]",340
0,"[1272, 2562, 4524]",230
0,"[4472, 3522, 376, 1646, 4382]",450
0,"[1425, 564, 3318]",230
0,"[336, 1170, 2960, 420]",340
0,"[4074, 446, 4527]",230
0,"[2658, 3504, 3540]",230
0,"[2632, 2172, 2911, 2465]",340
0,"[2112, 2220, 2006]",230
0,"[2314, 1838, 1015]",230
0,"[4426, 3004, 2789]",230
0,"[828, 1788, 1487, 1023]",340
0,"[2256, 1683, 3156, 432]",340
0,"[3643, 533, 3878, 2878]",340
0,"[3072, 4322, 990, 3584]",340
0,"[584, 2473, 1877, 4109]",340
0,"[475, 163, 2015]",230
0,"[2644, 2868, 1762]",230
0,"[102, 3214, 4223]",230
0,"[3569, 466, 2444]",230
0,"[850, 298, 895, 2785]",340
0,"[1152, 2842, 3644, 2871]",340
0,"[2058, 19, 3556, 245]",340
0,"[1120, 523, 3667, 4557, 4352, 4430]",560
0,"[3144, 3595, 3301]",230
0,"[2016, 801, 2197, 718]",340
0,"[2246, 3446, 1114, 3262]",340
0,"[1753, 98, 1956]",230
0,"[2522, 4052, 972]",230
0,"[860, 4133, 166]",230
0,"[1871, 3862, 2023]",230
0,"[1480, 3939, 2182]",230
0,"[347, 3972, 836]",230
0,"[2912, 2218, 3124, 3069]",340
0,"[3328, 1697, 2460, 3013]",340
0,"[1225, 2682, 4365]",230
0,"[2226, 474, 1731, 784]",340
0,"[1524, 3625, 1467, 3972]",340
0,"[1456, 3490, 540, 3868]",340
0,"[2314, 1660, 4038, 4555]",340
0,"[1994, 2669, 2311, 4507]",340
0,"[1824, 284, 2829, 2655, 1555]",450
0,"[3424, 3289, 1942]",230
0,"[588, 2214, 1550, 1241]",340
0,"[545, 3310, 1741, 70]",340
0,"[1896, 2466, 1173, 1019]",340
0,"[840, 3298, 341]",230
0,"[4490, 938, 922]",230
0,"[3179, 2955, 4594, 693]",340
1,"[2535, 1270, 3342]",230
1,"[3777, 1722, 1852]",230
1,"[906, 4109, 3054, 2776]",340
1,"[2904, 1938, 2149]",230
1,"[1204, 2444, 1122]",230
1,"[224, 2498, 156, 1323]",340
1,"[2958, 1067, 3726]",230
1,"[2912, 2386, 3343, 3306]",340
1,"[4184, 1121, 458]",230
1,"[1753, 3041, 631, 1319]",340
1,"[3104, 3291, 1397]",230
1,"[3114, 1036, 756, 3902]",340
1,"[308, 3566, 2736]",230
1,"[2964, 3212, 2716]",230
1,"[1675, 131, 527, 2814]",340
1,"[3424, 3218, 4123]",230
1,"[732, 2468, 4349, 1569]",340
1,"[3403, 2045, 3374, 3335]",340
1,"[3721, 1524, 622]",230
1,"[1777, 3077, 4257, 3179]",340
1,"[2392, 778, 1420]",230
1,"[1477, 2368, 3533]",230
1,"[4281, 2158, 1230]",230
1,"[1152, 131, 1213]",230
1,"[2936, 3194, 68, 8]",340
1,"[972, 2380, 543]",230
1,"[2714, 1675, 2856]",230
1,"[2480, 1378, 4014]",230
1,"[347, 2956, 2540, 2259]",340
1,"[1690, 1074, 2375, 3863]",340
1,"[3496, 3860, 2070]",230
1,"[2410, 3686, 575]",230
1,"[2402, 2042, 1440]",230
1,"[2224, 2268, 92]",230
1,"[1859, 4172, 2806]",230
1,"[2504, 374, 1227]",230
1,"[2243, 1428, 1566]",230
1,"[720, 1954, 4367]",230
1,"[2426, 1858, 1405, 1719]",340
1,"[986, 258, 1741]",230
1,"[3464, 1862, 2967, 4121]",340
1,"[2098, 4090, 3535, 2801]",340
1,"[4535, 1461, 1191]",230
1,"[336, 1870, 1206]",230
1,"[2668, 612, 486]",230
1,"[1757, 2517, 2487]",230
1,"[628, 1826, 3054]",230
1,"[2588, 1054, 3342, 3645]",340
1,"[3552, 568, 4140, 1440]",340
1,"[1837, 4468, 533, 2504]",340
1,"[1444, 1962, 4594, 788]",340
1,"[2828, 2190, 1655]",230
1,"[1272, 2562, 4524]",230
1,"[655, 523, 3447]",230
1,"[1425, 564, 3318]",230
1,"[336, 1170, 2960, 420]",340
1,"[4074, 446, 4527]",230
1,"[2658, 3504, 3540]",230
1,"[3090, 3540, 3047]",230
1,"[2112, 2220, 2006]",230
1,"[2314, 1838, 1015]",230
1,"[4426, 3004, 2789]",230
1,"[828, 1788, 1487, 1023]",340
1,"[1840, 3498, 2331]",230
1,"[3643, 533, 3878, 2878]",340
1,"[3072, 4322, 990, 3584]",340
1,"[584, 2473, 1877, 4109]",340
1,"[475, 163, 2015]",230
1,"[2644, 2868, 1762]",230
1,"[102, 3214, 4223]",230
1,"[3569, 466, 2444]",230
1,"[1152, 1219, 3494]",230
1,"[1152, 2842, 3644, 2871]",340
1,"[2058, 19, 3556, 245]",340
1,"[3130, 2371, 2590]",230
1,"[3144, 3595, 3301]",230
1,"[2016, 801, 2197, 718]",340
1,"[3610, 3516, 3765]",230
1,"[1753, 98, 1956]",230
1,"[2522, 4052, 972]",230
1,"[860, 4133, 166]",230
1,"[1871, 3862, 2023]",230
1,"[1480, 3939, 2182]",230
1,"[347, 3972, 836]",230
1,"[2718, 4452, 1974]",230
1,"[3328, 1697, 2460, 3013]",340
1,"[1225, 2682, 4365]",230
1,"[2226, 474, 1731, 784]",340
1,"[2936, 4001, 801]",230
1,"[1456, 3490, 540, 3868]",340
1,"[530, 308, 3118]",230
1,"[1994, 2669, 2311, 4507]",340
1,"[2576, 86, 1519, 2642]",340
1,"[3424, 3289, 1942]",230
1,"[588, 2214, 1550, 1241]",340
1,"[545, 3310, 1741, 70]",340
1,"[698, 1074, 1942]",230
1,"[840, 3298, 341]",230
1,"[4490, 938, 922]",230
1,"[3179, 2955, 4594, 693]",340
2,"[2535, 1270, 3342]",230
2,"[3777, 1722, 1852]",230
2,"[906, 4109, 3054, 2776]",340
2,"[2904, 1938, 2149]",230
2,"[1204, 2444, 1122]",230
2,"[224, 2498, 156, 1323]",340
2,"[2958, 1067, 3726]",230
2,"[2912, 2386, 3343, 3306]",340
2,"[4184, 1121, 458]",230
2,"[1464, 3819, 1029]",230
2,"[3104, 3291, 1397]",230
2,"[3104, 141, 423]",230
2,"[308, 3566, 2736]",230
2,"[2964, 3212, 2716]",230
2,"[1675, 131, 527, 2814]",340
2,"[3424, 3218, 4123]",230
2,"[732, 2468, 4349, 1569]",340
2,"[3403, 2045, 3374, 3335]",340
2,"[3721, 1524, 622]",230
2,"[4441, 218, 1030]",230
2,"[2392, 778, 1420]",230
2,"[1477, 2368, 3533]",230
2,"[4281, 2158, 1230]",230
2,"[1152, 131, 1213]",230
2,"[2650, 4414, 1743]",230
2,"[972, 2380, 543]",230
2,"[2714, 1675, 2856]",230
2,"[2480, 1378, 4014]",230
2,"[347, 2956, 2540, 2259]",340
2,"[1690, 1074, 2375, 3863]",340
2,"[3496, 3860, 2070]",230
2,"[2410, 3686, 575]",230
2,"[2402, 2042, 1440]",230
2,"[2224, 2268, 92]",230
